userSurveyID	userID	userIsDeleted	dateStart	dateCompleted	isComplete	mobileConnectionCount	orgNodeID	orgNodeLeft	orgNodeRight
1	1050	0	2019-12-01	2019-12-01	1	0	100	2	3
2	1089	0	2019-12-01		0	0	200	4	5
3	1076	0	2019-12-01	2019-12-01	1	0	200	4	5
4	1109	0	2019-12-01	2019-12-01	1	0	300	6	7
5	1110	0	2019-12-01	2019-12-01	1	0	300	6	7
6	1102	0	2019-12-01	2019-12-01	1	0	300	6	7
7	1045	0	2019-12-01	2019-12-01	1	0	100	2	3
8	1044	0	2019-12-01	2019-12-01	1	0	100	2	3
9	1088	0	2019-12-01	2019-12-01	1	0	200	4	5
10	1001	0	2019-12-01	2019-12-01	1	0	100	2	3
11	1039	0	2019-12-01	2019-12-01	1	0	100	2	3
12	1081	0	2019-12-01	2019-12-01	1	0	200	4	5
13	1034	0	2019-12-01	2019-12-01	1	0	100	2	3
14	1012	0	2019-12-01	2019-12-01	1	0	100	2	3
15	1010	0	2019-12-01	2019-12-01	1	0	100	2	3
16	1025	0	2019-12-01	2019-12-01	1	0	100	2	3
17	1063	0	2019-12-01	2019-12-01	1	0	200	4	5
18	1093	0	2019-12-01	2019-12-01	1	0	300	6	7
19	1118	0	2019-12-01	2019-12-01	1	0	300	6	7
20	1058	0	2019-12-01	2019-12-01	1	0	100	2	3
21	1080	0	2019-12-01	2019-12-01	1	0	200	4	5
22	1022	0	2019-12-01	2019-12-01	1	0	100	2	3
23	1016	0	2019-12-01	2019-12-01	1	0	100	2	3
24	1085	0	2019-12-01	2019-12-01	1	0	200	4	5
25	1052	0	2019-12-02		0	0	100	2	3
26	1046	0	2019-12-02		0	0	100	2	3
27	1120	0	2019-12-02	2019-12-02	1	0	300	6	7
28	1091	0	2019-12-02	2019-12-02	1	0	300	6	7
29	1042	0	2019-12-02		0	0	100	2	3
30	1078	0	2019-12-02	2019-12-02	1	0	200	4	5
31	1092	0	2019-12-02	2019-12-02	1	0	300	6	7
32	1029	0	2019-12-02	2019-12-02	1	0	100	2	3
33	1014	0	2019-12-02		0	0	100	2	3
34	1023	0	2019-12-02	2019-12-02	1	0	100	2	3
35	1073	0	2019-12-02	2019-12-02	1	0	200	4	5
36	1019	0	2019-12-02	2019-12-02	1	0	100	2	3
37	1064	0	2019-12-02		0	0	200	4	5
38	1003	0	2019-12-02	2019-12-02	1	0	100	2	3
39	1032	0	2019-12-02	2019-12-02	1	0	100	2	3
40	1031	0	2019-12-02		0	0	100	2	3
41	1015	0	2019-12-03	2019-12-03	1	0	100	2	3
42	1013	0	2019-12-03	2019-12-03	1	0	100	2	3
43	1041	0	2019-12-03	2019-12-03	1	0	100	2	3
44	1116	0	2019-12-03	2019-12-03	1	0	300	6	7
45	1065	0	2019-12-03	2019-12-03	1	0	200	4	5
46	1024	0	2019-12-03	2019-12-03	1	0	100	2	3
47	1106	0	2019-12-03	2019-12-03	1	0	300	6	7
48	1095	0	2019-12-03	2019-12-03	1	0	300	6	7
49	1074	0	2019-12-03	2019-12-03	1	0	200	4	5
50	1115	0	2019-12-03	2019-12-03	1	0	300	6	7
51	1017	0	2019-12-03	2019-12-03	1	0	100	2	3
52	1111	0	2019-12-03	2019-12-03	1	0	300	6	7
53	1026	0	2019-12-03	2019-12-03	1	0	100	2	3
54	1040	0	2019-12-03	2019-12-03	1	0	100	2	3
55	1067	0	2019-12-03	2019-12-03	1	0	200	4	5
56	1009	0	2019-12-03		0	0	100	2	3
57	1020	0	2019-12-03	2019-12-03	1	0	100	2	3
58	1055	0	2019-12-03	2019-12-03	1	0	100	2	3
59	1117	0	2019-12-03	2019-12-03	1	0	300	6	7
60	1113	0	2019-12-03	2019-12-03	1	0	300	6	7
61	1097	0	2019-12-03	2019-12-03	1	0	300	6	7
62	1004	0	2019-12-03	2019-12-03	1	0	100	2	3
63	1038	0	2019-12-03	2019-12-03	1	0	100	2	3
64	1096	0	2019-12-03	2019-12-03	1	0	300	6	7
65	1018	0	2019-12-03	2019-12-03	1	0	100	2	3
66	1057	0	2019-12-06	2019-12-06	1	0	100	2	3
67	1030	0	2019-12-06	2019-12-06	1	0	100	2	3
68	1068	0	2019-12-06	2019-12-06	1	0	200	4	5
69	1083	0	2019-12-06	2019-12-06	1	0	200	4	5
70	1094	0	2019-12-06	2019-12-06	1	0	300	6	7
71	1021	0	2019-12-06	2019-12-06	1	0	100	2	3
72	1008	0	2019-12-06	2019-12-06	1	0	100	2	3
73	1007	0	2019-12-06	2019-12-06	1	0	100	2	3
74	1114	0	2019-12-06		0	0	300	6	7
75	1082	0	2019-12-06	2019-12-06	1	0	200	4	5
76	1002	0	2019-12-06	2019-12-06	1	0	100	2	3
77	1048	0	2019-12-06	2019-12-06	1	0	100	2	3
78	1104	0	2019-12-06	2019-12-06	1	0	300	6	7
79	1035	0	2019-12-06	2019-12-06	1	0	100	2	3
80	1005	0	2019-12-06	2019-12-06	1	0	100	2	3
81	1037	0	2019-12-06	2019-12-06	1	0	100	2	3
82	1070	0	2019-12-06	2019-12-06	1	0	200	4	5
83	1072	0	2019-12-06		0	0	200	4	5
84	1054	0	2019-12-06	2019-12-06	1	0	100	2	3
85	1079	0	2019-12-06	2019-12-06	1	0	200	4	5
86	1099	0	2019-12-06		0	0	300	6	7
87	1036	0	2019-12-06	2019-12-06	1	0	100	2	3
88	1062	0	2019-12-06	2019-12-06	1	0	200	4	5
89	1075	0	2019-12-06		0	0	200	4	5
90	1056	0	2019-12-06	2019-12-06	1	0	100	2	3
91	1059	0	2019-12-06	2019-12-06	1	0	100	2	3
92	1101	0	2019-12-06	2019-12-06	1	0	300	6	7
93	1043	0	2019-12-06	2019-12-06	1	0	100	2	3
94	1100	0	2019-12-06	2019-12-06	1	0	300	6	7
95	1033	0	2019-12-06	2019-12-06	1	0	100	2	3
96	1053	0	2019-12-06	2019-12-06	1	0	100	2	3
97	1060	0	2019-12-06		0	0	100	2	3
98	1011	0	2019-12-06	2019-12-06	1	0	100	2	3
99	1049	0	2019-12-06	2019-12-06	1	0	100	2	3
100	1028	0	2019-12-06	2019-12-06	1	0	100	2	3
101	1069	0	2019-12-06	2019-12-06	1	0	200	4	5
102	1112	0	2019-12-06	2019-12-06	1	0	300	6	7
103	1098	0	2019-12-06		0	0	300	6	7
104	1086	0	2019-12-06	2019-12-06	1	0	200	4	5
